hack,SourceType,Active,Name,ProperName,URL,Headless,Domain,PID,Logo,ROR,re3data,scholia,wikidata,,base_url,base_uri,count,cdf_membership,space,notes,re3,summary
3,sitemap,TRUE,opentopography,OpenTopography,https://opentopography.org/sitemap.xml,,http://www.opentopography.org/,https://www.re3data.org/repository/r3d100010655,https://opentopography.org/sites/opentopography.org/files/ot_transp_logo_2.png,n/a,https://www.re3data.org/repository/r3d100010655,n/a,,,https://portal.opentopography.org/lidarDataset?opentopoID=,,,active,5f732bdbe4b01e808c8230f4,no jsonld,http://www.re3data.org/repository/r3d100010655,"OpenTopography facilitates community access to high-resolution, Earth science-oriented, topography data, and related tools and resources. The OpenTopography Facility is based at the San Diego Supercomputer Center at the University of California, San Diego and is operated in collaboration with colleagues in the School of Earth and Space Exploration at Arizona State University. Core operational support for OpenTopography comes from the National Science Foundation Earth Sciences: Instrumentation and Facilities Program (EAR/IF) and the Office of Cyberinfrastructure. In addition, we receive funding from the NSF and NASA to support various OpenTopography related research and development activities."
,sitemap,TRUE,iris,IRIS,http://ds.iris.edu/files/sitemap.xml,,http://iris.edu,https://www.re3data.org/repository/r3d100010268,http://ds.iris.edu/static/img/layout/logos/iris_logo_shadow.png,https://ror.org/05xkn9s74,https://www.re3data.org/repository/r3d100010268,http://mbobak-ofc.ncsa.illinois.edu:8888/topic/Q16074398,https://www.wikidata.org/wiki/Q16074398,,http://ds.iris.edu/ds,,28,,5f734863e4b01e808c823533,,,"fosters the development of standards, so paleoclimate data are easier to analyze, share, and re-use."
